# Name; Upsert; Primary key; ; Author
"LANGUAGE"; N; LANGUAGE_ID SMALLINT; ; H2 JDBC Driver; ; 
ACTOR; N; ACTOR_ID DECIMAL(65535, 32767); ; H2 JDBC Driver; ; 
ADDRESS; N; ADDRESS_ID INTEGER; ; H2 JDBC Driver; ; 
CATEGORY; N; CATEGORY_ID SMALLINT; ; H2 JDBC Driver; ; 
CITY; N; CITY_ID INTEGER; ; H2 JDBC Driver; ; 
COUNTRY; N; COUNTRY_ID SMALLINT; ; H2 JDBC Driver; ; 
CUSTOMER; N; CUSTOMER_ID INTEGER; ; H2 JDBC Driver; ; 
FILM; N; FILM_ID INTEGER; ; H2 JDBC Driver; ; 
FILM_ACTOR; N; ACTOR_ID INTEGER; FILM_ID INTEGER; ; H2 JDBC Driver; ; 
FILM_CATEGORY; N; FILM_ID INTEGER; CATEGORY_ID SMALLINT; ; H2 JDBC Driver; ; 
FILM_TEXT; N; FILM_ID SMALLINT; ; H2 JDBC Driver; ; 
INVENTORY; N; INVENTORY_ID INTEGER; ; H2 JDBC Driver; ; 
PAYMENT; N; PAYMENT_ID INTEGER; ; H2 JDBC Driver; ; 
RENTAL; N; RENTAL_ID INTEGER; ; H2 JDBC Driver; ; 
STAFF; N; STAFF_ID SMALLINT; ; H2 JDBC Driver; ; 
STORE; N; STORE_ID INTEGER; ; H2 JDBC Driver; ; 
