# Table A; Table B; First-insert; Cardinality; Join-condition; Name; Author
ADDRESS; CITY; B; n:1; A.CITY_ID=B.CITY_ID; FK_ADDRESS_CITY; H2 JDBC Driver; ; 
CITY; COUNTRY; B; n:1; A.COUNTRY_ID=B.COUNTRY_ID; FK_CITY_COUNTRY; H2 JDBC Driver; ; 
CUSTOMER; ADDRESS; B; n:1; A.ADDRESS_ID=B.ADDRESS_ID; FK_CUSTOMER_ADDRESS; H2 JDBC Driver; ; 
CUSTOMER; STORE; B; n:1; A.STORE_ID=B.STORE_ID; FK_CUSTOMER_STORE; H2 JDBC Driver; ; 
FILM; "LANGUAGE"; B; n:1; A.LANGUAGE_ID=B.LANGUAGE_ID; FK_FILM_LANGUAGE; H2 JDBC Driver; ; 
FILM; "LANGUAGE"; B; n:1; A.ORIGINAL_LANGUAGE_ID=B.LANGUAGE_ID; FK_FILM_LANGUAGE_ORIGINAL; H2 JDBC Driver; ; 
FILM_ACTOR; ACTOR; B; n:1; A.ACTOR_ID=B.ACTOR_ID; FK_FILM_ACTOR_ACTOR; H2 JDBC Driver; ; 
FILM_ACTOR; FILM; B; n:1; A.FILM_ID=B.FILM_ID; FK_FILM_ACTOR_FILM; H2 JDBC Driver; ; 
FILM_CATEGORY; CATEGORY; B; n:1; A.CATEGORY_ID=B.CATEGORY_ID; FK_FILM_CATEGORY_CATEGORY; H2 JDBC Driver; ; 
FILM_CATEGORY; FILM; B; n:1; A.FILM_ID=B.FILM_ID; FK_FILM_CATEGORY_FILM; H2 JDBC Driver; ; 
INVENTORY; FILM; B; n:1; A.FILM_ID=B.FILM_ID; FK_INVENTORY_FILM; H2 JDBC Driver; ; 
INVENTORY; STORE; B; n:1; A.STORE_ID=B.STORE_ID; FK_INVENTORY_STORE; H2 JDBC Driver; ; 
PAYMENT; CUSTOMER; B; n:1; A.CUSTOMER_ID=B.CUSTOMER_ID; FK_PAYMENT_CUSTOMER; H2 JDBC Driver; ; 
PAYMENT; RENTAL; B; n:1; A.RENTAL_ID=B.RENTAL_ID; FK_PAYMENT_RENTAL; H2 JDBC Driver; ; 
PAYMENT; STAFF; B; n:1; A.STAFF_ID=B.STAFF_ID; FK_PAYMENT_STAFF; H2 JDBC Driver; ; 
RENTAL; CUSTOMER; B; n:1; A.CUSTOMER_ID=B.CUSTOMER_ID; FK_RENTAL_CUSTOMER; H2 JDBC Driver; ; 
RENTAL; INVENTORY; B; n:1; A.INVENTORY_ID=B.INVENTORY_ID; FK_RENTAL_INVENTORY; H2 JDBC Driver; ; 
RENTAL; STAFF; B; n:1; A.STAFF_ID=B.STAFF_ID; FK_RENTAL_STAFF; H2 JDBC Driver; ; 
STAFF; ADDRESS; B; n:1; A.ADDRESS_ID=B.ADDRESS_ID; FK_STAFF_ADDRESS; H2 JDBC Driver; ; 
STORE; STAFF; ; ; A.MANAGER_STAFF_ID=B.STAFF_ID; MANAGER; Data Model Editor; ; 
STAFF; STORE; B; n:1; A.STORE_ID=B.STORE_ID; FK_STAFF_STORE; H2 JDBC Driver; ; 
STORE; ADDRESS; B; n:1; A.ADDRESS_ID=B.ADDRESS_ID; FK_STORE_ADDRESS; H2 JDBC Driver; ; 
